 Data from HASI_L4_ATMO_PROFILE_DESCEN.TAB
 Huygens Atmospheric Structure Instrument (HASI)
 Extended below 3 m assuming a constant temperature lapse rate
 and an ideal gas, based on the two lowest-altitude measured points.
 Columns are altitude, pressure, temperature, density.

 1827

  z[m]        p[Pa]  T[K]      rho[kg/m^3]
   72569.0   2323.0  113.7995  0.0689710
   72383.0   2339.0  113.4218  0.0698210
   72199.0   2356.0  112.8602  0.0708660
   72016.0   2373.0  112.3608  0.0715760
   71834.0   2389.0  112.0816  0.0722510
   71652.0   2406.0  111.6980  0.0730590
   71472.0   2423.0  110.7979  0.0740010
   71292.0   2441.0  110.2135  0.0750100
   71113.0   2458.0  108.9747  0.0763510
   70935.0   2476.0  107.6919  0.0776580
   70759.0   2494.0  107.0380  0.0785840
   70584.0   2512.0  106.4658  0.0796270
   70411.0   2530.0  105.9105  0.0807450
   70238.0   2548.0  105.6470  0.0813870
   70067.0   2565.0  105.4044  0.0819830
   69896.0   2584.0  105.1953  0.0828490
   69727.0   2601.0  104.9272  0.0836010
   69559.0   2619.0  104.6506  0.0844000
   69391.0   2636.0  104.4276  0.0849880
   69225.0   2656.0  103.9429  0.0861890
   69059.0   2674.0  103.0941  0.0875060
   68894.0   2693.0  102.7672  0.0883190
   68731.0   2711.0  102.5121  0.0892320
   68568.0   2729.0  102.3450  0.0899450
   68220.0   2769.0  101.6221  0.0918910
   68060.0   2787.0  101.0542  0.0928800
   67902.0   2807.0  100.0700  0.0943070
   67745.0   2827.0   99.4317  0.0956400
   67588.0   2846.0   98.9222  0.0967550
   67433.0   2865.0   98.3677  0.0976020
   67278.0   2886.0   97.6516  0.0991150
   67125.0   2906.0   96.8306  0.1008100
   66973.0   2925.0   96.3281  0.1018400
   66821.0   2945.0   95.7701  0.1032300
   66670.0   2966.0   95.1436  0.1047100
   66520.0   2985.0   93.8227  0.1068000
   66372.0   3006.0   93.2995  0.1083100
   66224.0   3027.0   92.9352  0.1095400
   66077.0   3048.0   92.5598  0.1108100
   65932.0   3069.0   91.9974  0.1122200
   65787.0   3090.0   91.5026  0.1136100
   65643.0   3111.0   91.2121  0.1148700
   65335.0   3157.0   90.2608  0.1178600
   65195.0   3178.0   89.6643  0.1193300
   65056.0   3200.0   89.0607  0.1209800
   64918.0   3222.0   88.4477  0.1226100
   64781.0   3244.0   87.8169  0.1242200
   64645.0   3267.0   87.2609  0.1259700
   64510.0   3289.0   86.8858  0.1274000
   64375.0   3312.0   86.4213  0.1288100
   64241.0   3335.0   86.0228  0.1302600
   64108.0   3358.0   85.3737  0.1322000
   63975.0   3381.0   84.7235  0.1339200
   63844.0   3404.0   84.1934  0.1358400
   63713.0   3427.0   83.5138  0.1377200
   63583.0   3451.0   82.8051  0.1396800
   63453.0   3475.0   82.4559  0.1415100
   63325.0   3499.0   82.1821  0.1430500
   63198.0   3522.0   81.9649  0.1442900
   63071.0   3546.0   81.4783  0.1461200
   62945.0   3570.0   81.2285  0.1476300
   62820.0   3595.0   80.8336  0.1492800
   62696.0   3619.0   80.6231  0.1508200
   62572.0   3644.0   80.4184  0.1521000
   62449.0   3669.0   80.1800  0.1535800
   62327.0   3693.0   79.8892  0.1551000
   62205.0   3718.0   79.6040  0.1566100
   62084.0   3742.0   79.3317  0.1580600
   61963.0   3768.0   79.0343  0.1596000
   61707.0   3823.0   78.3970  0.1630900
   61587.0   3849.0   78.1139  0.1646800
   61469.0   3874.0   77.8814  0.1663000
   61351.0   3899.0   77.7744  0.1680300
   61233.0   3925.0   77.5580  0.1693200
   61116.0   3951.0   77.3540  0.1708700
   61000.0   3977.0   77.2404  0.1723200
   60884.0   4004.0   77.1725  0.1737500
   60769.0   4031.0   77.1211  0.1750100
   60654.0   4056.0   77.0965  0.1764600
   60541.0   4083.0   76.9568  0.1775100
   60428.0   4109.0   76.6750  0.1791300
   60315.0   4136.0   76.5542  0.1808200
   60203.0   4162.0   76.4477  0.1823100
   60091.0   4189.0   76.1580  0.1836500
   59980.0   4217.0   75.7335  0.1856600
   59870.0   4244.0   75.4721  0.1878400
   59760.0   4272.0   75.3803  0.1895500
   59525.0   4330.0   75.1723  0.1927700
   59415.0   4359.0   75.0730  0.1942400
   59307.0   4386.0   75.0804  0.1958500
   59198.0   4414.0   75.1477  0.1969700
   59090.0   4442.0   75.1946  0.1980400
   58983.0   4470.0   75.1343  0.1992000
   58875.0   4499.0   75.0426  0.2004900
   58769.0   4528.0   74.9396  0.2019400
   58662.0   4558.0   74.8555  0.2033500
   58556.0   4585.0   74.7872  0.2051200
   58451.0   4614.0   74.5949  0.2066500
   58346.0   4643.0   74.3759  0.2083300
   58241.0   4670.0   74.1779  0.2103700
   58137.0   4699.0   74.0740  0.2121600
