   Data from
     Borysow A, 2002, Collision-induced absorption coefficients
       of H2 pairs at temperatures from 60 K to 1000 K,
       Astron. Astrophys. 390, 779-782, doi: 10.1051/0004-6361:20020555
  
   No. temperatures:    7
   No. rows:         1649
   What follows was obtained in August 2011 from the link
     http://www.astro.ku.dk/~aborysow/programs/final_CIA_LT.dat

     CIA spectra of H2-H2 from 60 to 350K, in  cm^{-1}/amagat^{2}
     freq  60K       100K     150K       200K      250K      300K      350K
   (cm^-1) 
   760.0 8.304E-07 1.393E-06 2.040E-06 2.564E-06 2.945E-06 3.196E-06 3.345E-06
   770.0 7.353E-07 1.275E-06 1.922E-06 2.460E-06 2.856E-06 3.123E-06 3.288E-06
   780.0 6.532E-07 1.176E-06 1.826E-06 2.375E-06 2.783E-06 3.062E-06 3.240E-06
   790.0 5.823E-07 1.093E-06 1.748E-06 2.304E-06 2.720E-06 3.008E-06 3.197E-06
   800.0 5.211E-07 1.023E-06 1.680E-06 2.240E-06 2.661E-06 2.957E-06 3.156E-06
   810.0 4.680E-07 9.599E-07 1.615E-06 2.176E-06 2.600E-06 2.902E-06 3.110E-06
   820.0 4.221E-07 8.989E-07 1.546E-06 2.103E-06 2.530E-06 2.839E-06 3.057E-06
   830.0 3.822E-07 8.372E-07 1.468E-06 2.020E-06 2.448E-06 2.765E-06 2.995E-06
   840.0 3.477E-07 7.755E-07 1.384E-06 1.926E-06 2.355E-06 2.681E-06 2.924E-06
   850.0 3.183E-07 7.161E-07 1.295E-06 1.825E-06 2.255E-06 2.590E-06 2.847E-06
   860.0 2.936E-07 6.615E-07 1.207E-06 1.721E-06 2.150E-06 2.494E-06 2.766E-06
   870.0 2.740E-07 6.134E-07 1.123E-06 1.618E-06 2.045E-06 2.398E-06 2.685E-06
   880.0 2.600E-07 5.729E-07 1.045E-06 1.519E-06 1.943E-06 2.305E-06 2.606E-06
   890.0 2.529E-07 5.409E-07 9.743E-07 1.426E-06 1.846E-06 2.216E-06 2.533E-06
   900.0 2.547E-07 5.176E-07 9.118E-07 1.341E-06 1.756E-06 2.135E-06 2.466E-06
