 LATITUDE   30.0 DEG   DATE (MONTH/DAY/YEAR) =  1/  1/   1                    *
NN     1  111       ALTITUDE
-6.370E+01-5.870E+01-5.370E+01-4.870E+01-4.370E+01-3.970E+01-3.670E+01-3.370E+01
-3.070E+01-2.770E+01-2.470E+01-2.170E+01-1.870E+01-1.570E+01-1.370E+01-1.170E+01
-9.700E+00-7.700E+00-5.700E+00-3.700E+00-1.700E+00 3.000E-01 2.300E+00 4.300E+00
 1.154E+07 1.200E+07 1.305E+07 2.058E+07 2.561E+07 2.968E+07 3.295E+07 3.534E+07
 3.686E+07 3.729E+07 3.679E+07 3.535E+07 2.999E+07 2.304E+07 1.805E+07 1.502E+07
 1.310E+07 1.190E+07 1.110E+07 1.073E+07 1.063E+07 1.072E+07 1.106E+07 1.170E+07
 1.283E+07 1.456E+07 1.708E+07 2.088E+07 2.651E+07 3.467E+07 4.638E+07 6.298E+07
 8.654E+07 1.208E+08 1.772E+08 3.035E+08 6.309E+08 1.308E+09 2.309E+09 3.431E+09
 4.438E+09 5.216E+09 5.798E+09 6.195E+09 6.335E+09 6.156E+09 5.698E+09 5.076E+09
 4.330E+09 3.643E+09 3.058E+09 2.520E+09 2.036E+09 1.587E+09 1.252E+09 9.996E+08
 8.020E+08 6.474E+08 5.263E+08 4.278E+08 3.501E+08 2.882E+08 2.392E+08 1.990E+08
 1.663E+08 1.394E+08 1.170E+08 9.846E+07 8.309E+07 7.017E+07 5.929E+07 5.022E+07
 4.250E+07 3.602E+07 3.048E+07 2.583E+07 2.189E+07 1.852E+07 1.568E+07
NN   001  111       HE      
 2.203E+19 2.032E+19 1.870E+19 1.716E+19 1.568E+19 1.457E+19 1.376E+19 1.298E+19
 1.223E+19 1.150E+19 1.079E+19 1.012E+19 9.468E+18 8.836E+18 8.426E+18 8.031E+18
 7.653E+18 7.284E+18 6.914E+18 6.567E+18 6.219E+18 5.900E+18 5.568E+18 5.258E+18
 4.958E+18 4.677E+18 4.360E+18 4.038E+18 3.737E+18 3.449E+18 3.180E+18 2.931E+18
 2.701E+18 2.489E+18 2.293E+18 2.108E+18 1.929E+18 1.756E+18 1.586E+18 1.415E+18
 1.249E+18 1.091E+18 9.490E+17 8.237E+17 6.219E+17 4.470E+17 3.123E+17 2.232E+17
 1.621E+17 1.192E+17 8.415E+16 5.986E+16 4.285E+16 3.087E+16 2.245E+16 1.648E+16
 1.169E+16 8.344E+15 5.967E+15 4.271E+15 3.058E+15 2.189E+15 1.567E+15 1.120E+15
 8.007E+14 5.718E+14 4.080E+14 2.908E+14 2.070E+14 1.472E+14 1.046E+14 7.416E+13
 5.252E+13 3.709E+13 2.610E+13 1.827E+13 1.270E+13 8.764E+12 6.001E+12 4.073E+12
 2.605E+12 1.647E+12 1.030E+12 6.046E+11 3.345E+11 1.735E+11 8.903E+10 4.462E+10
 2.208E+10 1.090E+10 5.407E+09 2.640E+09 1.301E+09 6.454E+08 3.261E+08 1.642E+08
 8.335E+07 4.238E+07 2.151E+07 1.100E+07 5.655E+06 2.907E+06 1.494E+06 7.744E+05
 3.993E+05 2.073E+05 1.068E+05 5.526E+04 2.865E+04 1.475E+04 7.613E+03
NN   001  111       H2      
 1.397E+20 1.288E+20 1.186E+20 1.088E+20 9.941E+19 9.234E+19 8.725E+19 8.228E+19
 7.752E+19 7.289E+19 6.840E+19 6.415E+19 6.003E+19 5.602E+19 5.342E+19 5.091E+19
 4.852E+19 4.618E+19 4.383E+19 4.164E+19 3.943E+19 3.740E+19 3.530E+19 3.333E+19
 3.144E+19 2.965E+19 2.764E+19 2.560E+19 2.369E+19 2.187E+19 2.016E+19 1.858E+19
 1.712E+19 1.578E+19 1.454E+19 1.336E+19 1.224E+19 1.114E+19 1.006E+19 8.977E+18
 7.930E+18 6.926E+18 6.025E+18 5.231E+18 3.952E+18 2.843E+18 1.989E+18 1.423E+18
 1.035E+18 7.624E+17 5.397E+17 3.851E+17 2.766E+17 2.000E+17 1.462E+17 1.079E+17
 7.714E+16 5.551E+16 4.009E+16 2.902E+16 2.103E+16 1.525E+16 1.107E+16 8.034E+15
 5.836E+15 4.241E+15 3.084E+15 2.243E+15 1.631E+15 1.188E+15 8.651E+14 6.302E+14
 4.595E+14 3.350E+14 2.447E+14 1.789E+14 1.309E+14 9.591E+13 7.039E+13 5.174E+13
 3.666E+13 2.605E+13 1.856E+13 1.277E+13 8.519E+12 5.460E+12 3.534E+12 2.295E+12
 1.498E+12 9.866E+11 6.575E+11 4.373E+11 2.944E+11 2.002E+11 1.381E+11 9.559E+10
 6.668E+10 4.671E+10 3.278E+10 2.315E+10 1.642E+10 1.167E+10 8.296E+09 5.932E+09
 4.233E+09 3.033E+09 2.165E+09 1.550E+09 1.111E+09 7.938E+08 5.677E+08
NN   001  111       C       
 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
