 Galileo Probe Jupiter data from 
 Seiff et al (1997, Science 276, 102-104) 
 "Thermal Structure of Jupiter's Upper 
 Atmosphere Derived from the Galileo Probe."

 384
 z[km]    p[hPa]     T[K]   rho[kg/m3]
  130.79  1.9230     161.70 0.00033630
  127.67  2.1850     158.20 0.00039040
  124.62  2.4810     156.30 0.00044880
  121.64  2.8150     154.00 0.00051700
  118.74  3.1850     153.90 0.00058500
  115.92  3.5930     152.60 0.00066570
  113.20  4.0360     154.80 0.00073710
  110.57  4.5080     156.60 0.00081380
  108.04  5.0110     157.30 0.00090060
  105.61  5.5460     156.40 0.0010030
  103.28  6.1140     157.20 0.0011000
  101.06  6.7020     159.60 0.0011870
   98.938 7.3080     161.60 0.0012790
   96.922 7.9300     162.30 0.0013810
   95.004 8.5660     163.10 0.0014850
   93.183 9.2190     162.40 0.0016050
   91.456 9.8890     160.50 0.0017420
   89.821 10.570     160.40 0.0018640
   88.272 11.270     159.70 0.0019950
   86.807 11.970     158.30 0.0021370
   85.420 12.680     156.50 0.0022900
   84.109 13.400     155.30 0.0024390
   82.869 14.120     155.30 0.0025720
   81.696 14.850     150.60 0.0027890
   80.586 15.590     149.60 0.0029470
   79.535 16.330     146.40 0.0031550
   78.541 17.080     144.50 0.0033420
   77.599 17.830     142.50 0.0035400
   76.706 18.580     141.90 0.0037050
   75.858 19.340     138.70 0.0039420
   75.054 20.100     135.70 0.0041890
   74.289 20.860     134.50 0.0043830
   73.561 21.610     135.80 0.0045000
   72.868 22.350     135.00 0.0046810
   72.205 23.080     135.50 0.0048170
   71.571 23.800     134.90 0.0049890
   70.963 24.510     135.90 0.0051000
   70.379 25.210     137.30 0.0051920
   69.816 25.900     136.70 0.0053590
   69.274 26.580     137.80 0.0054560
   68.750 27.250     137.10 0.0056220
   68.243 27.930     134.70 0.0058630
   67.752 28.610     134.60 0.0060120
   67.276 29.280     133.10 0.0062210
   66.814 29.960     131.90 0.0064230
   66.364 30.640     131.70 0.0065780
   65.927 31.320     129.60 0.0068350
   65.500 32.010     128.80 0.0070290
   65.084 32.690     129.00 0.0071690
   64.678 33.380     129.80 0.0072680
   64.281 34.050     129.20 0.0074510
   63.892 34.730     129.70 0.0075700
   63.511 35.410     129.70 0.0077220
   63.136 36.090     130.50 0.0078180
   62.768 36.760     132.20 0.0078630
   62.406 37.430     131.10 0.0080730
   62.049 38.100     131.10 0.0082200
   61.698 38.780     129.70 0.0084540
   61.352 39.470     129.80 0.0085990
   61.010 40.160     128.30 0.0088480
