 LIMAYE.DAT
 S. S. Limaye:  "Jupiter:  New Estimates of the Mean Zonal Flow 
 at the Cloud Level,"  Icarus 65, 335-352 (1986).
  Latitude          North           South
  gra   cen     [u]  rms  N     [u]  rms  N
 42.81 38.70   20.9  5.0 126   30.4  5.8 120
 42.65 38.55   19.1  5.4 126   26.7  5.2 120
 42.49 38.39   16.6  5.5 127   22.8  5.6 122
 42.34 38.24   13.5  5.4 126   19.2  6.2 123
 42.18 38.08   10.3  4.8 126   15.9  5.8 123
 42.02 37.93    7.6  4.0 126   13.0  5.1 123
 41.86 37.77    5.3  4.0 126   10.8  4.5 123
 41.71 37.62    3.3  4.1 126    9.2  4.1 123
 41.55 37.47    1.3  3.9 126    8.2  3.9 123
 41.39 37.32   -0.8  4.2 126    7.5  3.8 124
 41.24 37.17   -2.8  3.9 126    7.0  3.6 123
 41.08 37.01   -4.6  3.8 126    6.6  3.6 124
 40.92 36.86   -6.4  3.6 127    6.2  3.5 124
 40.77 36.71   -8.0  3.8 126    5.8  3.5 124
 40.61 36.56   -9.5  3.3 126    5.4  3.3 124
 40.46 36.41  -10.7  3.7 126    4.9  3.4 124
 40.31 36.26  -11.9  3.3 126    4.4  3.4 124
 40.15 36.11  -12.9  3.2 126    4.0  3.7 125
 40.00 35.97  -13.6  3.9 127    3.7  3.3 124
 39.84 35.82  -14.1  3.3 126    3.5  3.4 124
 39.69 35.67  -14.6  3.5 126    3.5  3.5 124
 39.54 35.52  -14.8  3.6 126    3.7  3.5 124
 39.38 35.37  -14.8  3.7 126    4.1  3.3 124
 39.23 35.23  -14.3  3.8 126    4.6  3.4 124
 39.08 35.08  -13.4  3.9 126    5.3  3.5 125
 38.93 34.93  -12.0  4.0 126    6.0  3.3 125
 38.77 34.79  -10.4  3.9 127    6.9  3.4 125
 38.62 34.64   -8.6  4.1 126    7.8  3.6 125
 38.47 34.50   -6.7  4.1 126    8.7  3.9 125
 38.32 34.35   -4.5  4.2 126    9.7  3.7 124
