 Update of Table VIII* in
   Karkoschka E, 1994, Spectrophotometry of the Jovian Planets
    and Titan at 300-nm to 1000-nm Wavelength: the Methane
    Spectrum.  Icarus 111, 174-192.
 *NOTE: This file has entries with Wav < 430.4 deleted, to reduce CH4=.0000 entries
 Wav:     Wavelength in vacuum [nm]
 Wav_m:   Wavelength as measured [nm]
 CH4:     Cold temperature methane absorption coeff. [1/(km amagat)]
 Jup:     Full-disk albedo for Jupiter
 Sat:     Full-disk albedo for Saturn
 Ura:     Full-disk albedo for Uranus
 Nep:     Full-disk albedo for Neptune
 Tit:     Full-disk albedo for Titan
 No. rows: 1550
 Wav    Wav_m     CH4   Jup   Sat   Ura   Nep   Tit
 484.0  483.85   .0135 .4847 .4025 .5182 .4718 .1509
 484.4  484.25   .0191 .4844 .4025 .4907 .4415 .1509
 484.8  484.65   .0280 .4838 .4013 .4552 .4043 .1510
 485.2  485.05   .0340 .4837 .4006 .4411 .3890 .1511
 485.6  485.45   .0368 .4840 .4006 .4438 .3908 .1517
 486.0  485.85   .0428 .4791 .3969 .4521 .3977 .1508
 486.4  486.25   .0317 .4843 .4018 .4752 .4216 .1509
 486.8  486.65   .0191 .4924 .4087 .4957 .4461 .1535
 487.2  487.05   .0134 .4923 .4089 .5217 .4737 .1536
 487.6  487.45   .0092 .4938 .4107 .5481 .5040 .1545
 488.0  487.85   .0059 .4954 .4127 .5683 .5291 .1553
 488.4  488.25   .0037 .4943 .4124 .5897 .5535 .1554
 488.8  488.65   .0023 .4936 .4116 .6097 .5746 .1558
 489.2  489.05   .0013 .4966 .4141 .6208 .5849 .1563
 489.6  489.45   .0008 .4983 .4161 .6210 .5868 .1566
 490.0  489.85   .0007 .4966 .4146 .6220 .5887 .1570
 490.4  490.25   .0006 .4968 .4149 .6260 .5917 .1575
 490.8  490.65   .0005 .4961 .4148 .6274 .5925 .1575
 491.2  491.05   .0006 .4974 .4155 .6282 .5922 .1576
 491.6  491.45   .0005 .4989 .4169 .6305 .5949 .1591
 492.0  491.85   .0005 .4977 .4159 .6360 .5996 .1585
 492.4  492.25   .0005 .4998 .4182 .6348 .5979 .1590
 492.8  492.65   .0005 .5011 .4196 .6239 .5894 .1598
 493.2  493.05   .0004 .5003 .4194 .6241 .5890 .1602
 493.6  493.45   .0003 .4989 .4184 .6266 .5910 .1603
 494.0  493.85   .0002 .4999 .4194 .6237 .5889 .1605
 494.4  494.25   .0002 .5000 .4203 .6169 .5830 .1610
 494.8  494.65   .0003 .4990 .4197 .6124 .5794 .1608
 495.2  495.05   .0003 .5004 .4209 .6169 .5836 .1615
 495.6  495.45   .0002 .4998 .4204 .6274 .5921 .1623
 496.0  495.85   .0004 .5027 .4227 .6293 .5933 .1627
 496.4  496.25   .0004 .5044 .4247 .6275 .5916 .1641
 496.8  496.65   .0005 .5023 .4233 .6306 .5935 .1640
