  37  15
    15.0   0.7732 0.7735 0.7717 0.7706 0.7696 0.7677 0.7631 0.7547 0.7384 0.7171 0.6960 0.6650 0.6268 0.5890 0.5560
    20.0   0.7748 0.7754 0.7739 0.7732 0.7729 0.7716 0.7677 0.7601 0.7443 0.7234 0.7023 0.6708 0.6319 0.5930 0.5589
    25.0   0.7760 0.7769 0.7755 0.7751 0.7751 0.7742 0.7707 0.7636 0.7483 0.7277 0.7065 0.6748 0.6354 0.5958 0.5610
    30.0   0.7770 0.7780 0.7766 0.7763 0.7764 0.7756 0.7724 0.7656 0.7505 0.7302 0.7091 0.6773 0.6376 0.5977 0.5624
    35.0   0.7778 0.7787 0.7773 0.7770 0.7770 0.7762 0.7730 0.7664 0.7514 0.7313 0.7104 0.6787 0.6391 0.5989 0.5635
    40.0   0.7784 0.7793 0.7777 0.7773 0.7771 0.7762 0.7729 0.7664 0.7515 0.7316 0.7109 0.6794 0.6399 0.5998 0.5643
    45.0   0.7789 0.7797 0.7779 0.7773 0.7770 0.7759 0.7724 0.7658 0.7509 0.7312 0.7108 0.6796 0.6404 0.6004 0.5651
    50.0   0.7793 0.7800 0.7781 0.7774 0.7768 0.7755 0.7718 0.7650 0.7501 0.7306 0.7104 0.6796 0.6408 0.6010 0.5659
    55.0   0.7797 0.7804 0.7783 0.7774 0.7766 0.7751 0.7711 0.7641 0.7493 0.7299 0.7100 0.6796 0.6412 0.6017 0.5668
    60.0   0.7801 0.7808 0.7786 0.7776 0.7766 0.7748 0.7707 0.7635 0.7486 0.7293 0.7097 0.6796 0.6417 0.6026 0.5679
    65.0   0.7805 0.7812 0.7790 0.7779 0.7768 0.7748 0.7705 0.7630 0.7481 0.7289 0.7096 0.6799 0.6423 0.6035 0.5691
    70.0   0.7809 0.7817 0.7795 0.7783 0.7772 0.7751 0.7706 0.7629 0.7479 0.7288 0.7097 0.6803 0.6432 0.6047 0.5704
    75.0   0.7814 0.7822 0.7801 0.7789 0.7778 0.7756 0.7709 0.7631 0.7480 0.7290 0.7100 0.6809 0.6442 0.6059 0.5718
    80.0   0.7818 0.7828 0.7808 0.7796 0.7785 0.7762 0.7715 0.7635 0.7483 0.7293 0.7106 0.6817 0.6453 0.6073 0.5733
    85.0   0.7823 0.7834 0.7815 0.7804 0.7793 0.7770 0.7722 0.7641 0.7489 0.7299 0.7113 0.6827 0.6465 0.6087 0.5748
    90.0   0.7827 0.7840 0.7822 0.7812 0.7802 0.7779 0.7731 0.7648 0.7495 0.7306 0.7121 0.6837 0.6477 0.6100 0.5762
